Country,Deaths
China,92.08896797153025
US,0.30255087417598164
Japan,9.107692307692307
Thailand,0.5384615384615384
South Korea,8.645833333333334
Mainland China,52.39004707464694
Hong Kong,1.2127659574468086
Macau,0
Taiwan,0.5306122448979592
Singapore,0.1875
Philippines,5.844827586206897
Malaysia,1.5238095238095237
Vietnam,0
Australia,0.31932773109243695
Mexico,0.8275862068965517
Brazil,8.935483870967742
France,47.041916167664674
Nepal,0
Canada,0.6601941747572816
Cambodia,0
Sri Lanka,0
Ivory Coast,0
Germany,19.133333333333333
Finland,0.20689655172413793
United Arab Emirates,0.2413793103448276
India,1.543859649122807
Italy,1097.7894736842106
Sweden,5.339285714285714
Russia,0.21818181818181817
Spain,365.35714285714283
UK,0.45
Belgium,16.423076923076923
Others,2.727272727272727
Egypt,3.4523809523809526
Iran,580.2777777777778
Israel,0.5428571428571428
Lebanon,1.7428571428571429
Iraq,8.757575757575758
Oman,0
Afghanistan,0.28125
Bahrain,0.65625
Kuwait,0
Austria,5.741935483870968
Algeria,5.129032258064516
Croatia,0.3225806451612903
Switzerland,31.580645161290324
Pakistan,1.4
Georgia,0
Greece,4.966666666666667
North Macedonia,0.36666666666666664
Norway,3.2
Romania,2.033333333333333
Denmark,3.509433962264151
Estonia,0.06896551724137931
Netherlands,35.232142857142854
San Marino,6.9655172413793105
Azerbaijan,0.6296296296296297
Belarus,0
Iceland,0.6071428571428571
Lithuania,0.4642857142857143
New Zealand,0
Nigeria,0.14285714285714285
North Ireland,0
Ireland,2.4814814814814814
Luxembourg,2.3333333333333335
Monaco,0
Qatar,0
Ecuador,5.615384615384615
Czech Republic,0
Armenia,0.038461538461538464
Dominican Republic,1.5384615384615385
Indonesia,17.12
Portugal,7.88
Andorra,0.28
Latvia,0
Morocco,1.96
Saudi Arabia,0.24
Senegal,0
Argentina,2.4166666666666665
Chile,0.5
Jordan,0
Ukraine,1.4583333333333333
Saint Barthelemy,0
Hungary,2.347826086956522
Faroe Islands,0
Gibraltar,0
Liechtenstein,0
Poland,4.043478260869565
Tunisia,1.0434782608695652
Palestine,0
Bosnia and Herzegovina,0.5454545454545454
Slovenia,1.2727272727272727
South Africa,0
Bhutan,0
Cameroon,0.09523809523809523
Colombia,0.8571428571428571
Costa Rica,0.6666666666666666
Peru,2.0476190476190474
Serbia,0.7142857142857143
Slovakia,0.19047619047619047
Togo,0
Vatican City,0
French Guiana,0
Malta,0
Martinique,0.4
Republic of Ireland,0
Bulgaria,1.9473684210526316
Maldives,0
Bangladesh,1.263157894736842
Moldova,0.5
Paraguay,0.5789473684210527
Albania,2.0555555555555554
Cyprus,0.6111111111111112
St. Martin,0
Brunei,0
Iran (Islamic Republic of),291.0
Republic of Korea,54.0
Hong Kong SAR,3.0
Taipei and environs,1.0
Viet Nam,0
occupied Palestinian territory,0
Macao SAR,0
Russian Federation,0
Republic of Moldova,0
Saint Martin,0
Burkina Faso,1.6470588235294117
Channel Islands,0
Holy See,0
Mongolia,0
Panama,2.2941176470588234
"Korea, South",91.125
Cruise Ship,7.230769230769231
United Kingdom,34.78313253012048
Czechia,1.25
Taiwan*,1.4285714285714286
Bolivia,0
Honduras,0.0625
Congo (Kinshasa),0.625
Cote d'Ivoire,0
Jamaica,0.5
Reunion,0
Turkey,16.4375
Cuba,0.6666666666666666
Guyana,1.0
Kazakhstan,0.2857142857142857
Cayman Islands,0
Guadeloupe,0
Ethiopia,0
Sudan,1.0
Guinea,0
Antigua and Barbuda,0
Aruba,0
Kenya,0.07142857142857142
Uruguay,0
Ghana,1.0769230769230769
Jersey,0
Namibia,0
Seychelles,0
Trinidad and Tobago,0.15384615384615385
Venezuela,0
Curacao,0
Eswatini,0
Gabon,0.5384615384615384
Guatemala,0.8461538461538461
Guernsey,0
Mauritania,0
Rwanda,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Suriname,0
Kosovo,0.125
Central African Republic,0
Congo (Brazzaville),0
Equatorial Guinea,0
Uzbekistan,0
Guam,0
Puerto Rico,0
Benin,0
Greenland,0
Liberia,0
Mayotte,0
Republic of the Congo,0
Somalia,0
Tanzania,0
The Bahamas,0
Barbados,0
Montenegro,0.4
The Gambia,0
Kyrgyzstan,0
Mauritius,1.2222222222222223
Zambia,0
Djibouti,0
"Gambia, The",0
"Bahamas, The",0
Chad,0
El Salvador,0
Fiji,0
Nicaragua,0
Madagascar,0
Haiti,0
Angola,0
Cabo Verde,0.42857142857142855
Niger,0.2857142857142857
Papua New Guinea,0
Zimbabwe,0.5714285714285714
Cape Verde,0
East Timor,0
Eritrea,0
Uganda,0
Bahamas,0
Dominica,0
Gambia,0.8
Grenada,0
Mozambique,0
Syria,0
Timor-Leste,0
Belize,0
Laos,0
Libya,0
Diamond Princess,10.0
Guinea-Bissau,0
Mali,0
Saint Kitts and Nevis,0
West Bank and Gaza,1.0
